lab01:
	Napisano aplikację umożliwiającą sprawdzenie wskazanych katalogów pod kątem wystąpienia
	zmian w zawartych w nich plikach. Aplikacja działa wyliczając skrót MD5 dla każdego pliku znajdującego się 
	w wskazanym folderze. Na podstawie wyliczonego skrótu można sprawdzić zmiany plików w stosunku
	do poprzednio wykonanego snapshota. Aplikację napisano z wykorzystaniem modułów (moduł aplikacji oraz moduł biblioteki).
	Przygotowano minimalne środowisko uruchomieniowe (używając jlink), do którego podięto przygotowane moduły oraz moduły JavyFX.
	Aplikacja oferuje interfejs graficzny wykonany przy użyciu JavaFX. Do operacji na plikach i katalogach wykorzystano pakiet
	klas java.nio. Program można uruchomić z linii komend oraz został napisany w stylu funkcjonalnym. Dodano także security managera.

	Propozyja oceny: 5
	Ocena TK:

lab02:
	Napisano aplikację, która umożliwia podglądanie zawartości plików podczas przeglądania struktury katalogów.
	Interferjs graficzny składa się z przycisku do wyboru katalogu, listy plików oraz pola na którym pojawia się podgląd plików *.txt lub *.png.
	Aplikacja wyświetla informację w polu tekstowym o tym, czy zawartość pliku została ponownie załadowana, czy też została pobrana z pamięci.
	Sprawdzono poprawność działania aplikacji przekazując maszynie wirtualnej parametry ograniczające przydzielaną jej pamięć oraz regulujące pracę algorytmu odśmiecania.
	
	Propozyja oceny: 4.5
	Ocena TK:
